,GP550R
RamanShit,Intensity,
3173.95,298.32,
3175.44,283.62,
3176.94,257.83,
3178.43,266.25,
3179.92,284.39,
3181.41,281.55,
3182.91,285.23,
3184.40,290.94,
3185.89,281.73,
3187.38,268.06,
3188.87,275.37,
3190.36,294.05,
3191.84,272.82,
3193.33,235.36,
3194.82,235.93,
3196.30,257.81,
3197.78,273.36,
3199.27,278.58,
3200.75,295.05,
