,GP550R
RamanShit,Intensity,
2897.21,488.62,
2898.85,543.73,
2900.48,579.00,
2902.11,568.38,
2903.74,540.39,
2905.37,524.56,
2907.00,529.52,
2908.63,533.97,
2910.26,538.62,
2911.89,532.06,
2913.51,513.79,
2915.14,501.75,
2916.76,521.85,
2918.39,540.12,
2920.01,525.97,
2921.63,495.09,
2923.25,486.84,
2924.87,496.39,
2926.49,513.72,
2928.11,531.64,
2929.73,555.12,
2931.35,560.33,
2932.96,544.08,
2934.58,533.00,
2936.19,543.01,
2937.81,560.43,
2939.42,566.00,
2941.03,564.33,
2942.64,566.98,
2944.25,558.34,
2945.87,534.05,
2947.47,526.71,
2949.08,543.83,
2950.69,557.72,
2952.29,546.42,
2953.90,527.40,
2955.51,515.46,
2957.11,523.54,
2958.71,546.56,
2960.32,573.70,
2961.92,578.21,
2963.52,564.01,
2965.12,566.23,
2966.72,593.89,
2968.32,610.99,
2969.92,604.62,
2971.51,575.70,
2973.11,570.38,
2974.70,605.87,
2976.30,642.00,
2977.89,636.73,
2979.48,595.56,
2981.08,583.41,
2982.67,616.36,
2984.26,627.63,
2985.85,609.34,
2987.44,603.14,
2989.02,621.64,
2990.61,638.54,
2992.20,631.59,
2993.78,626.55,
2995.37,613.69,
2996.95,589.08,
2998.53,580.09,
3000.12,601.02,
3001.70,627.78,
3003.28,637.25,
3004.86,631.61,
3006.44,632.71,
3008.02,628.65,
3009.59,618.18,
3011.17,607.42,
3012.75,617.29,
3014.32,637.56,
3015.90,643.57,
3017.47,639.78,
3019.04,632.68,
3020.62,616.28,
3022.19,607.74,
3023.76,618.16,
3025.33,642.69,
3026.90,645.72,
3028.46,630.06,
3030.03,635.84,
3031.60,657.35,
3033.16,667.61,
3034.73,658.01,
3036.29,640.59,
3037.86,638.11,
3039.42,642.61,
3040.98,658.48,
3042.54,677.16,
3044.10,671.29,
3045.66,649.21,
3047.22,640.04,
3048.78,656.64,
3050.34,675.38,
3051.89,671.00,
3053.45,658.99,
3055.01,660.42,
3056.56,670.03,
3058.11,668.89,
3059.67,651.65,
3061.22,645.49,
3062.77,663.87,
3064.32,691.60,
3065.87,701.64,
3067.42,697.42,
3068.96,689.05,
3070.51,697.87,
3072.06,719.33,
3073.60,729.35,
3075.15,714.08,
3076.69,704.17,
3078.24,705.48,
3079.78,699.39,
3081.32,679.31,
3082.86,679.80,
3084.40,695.32,
3085.94,695.70,
3087.48,678.05,
3089.02,680.36,
3090.56,689.26,
3092.09,685.28,
3093.63,671.82,
3095.16,678.14,
3096.70,700.99,
3098.23,707.66,
3099.76,688.91,
3101.29,679.00,
3102.83,684.30,
3104.36,692.86,
3105.89,683.53,
3107.42,672.55,
3108.94,678.24,
3110.47,690.08,
3112.00,692.06,
3113.52,681.79,
3115.05,685.69,
3116.57,714.15,
3118.10,738.38,
3119.62,744.07,
3121.14,745.94,
3122.66,752.91,
3124.18,755.16,
3125.70,752.04,
3127.22,764.40,
3128.74,774.22,
3130.26,765.01,
3131.78,751.95,
3133.29,743.35,
3134.81,734.71,
3136.32,726.42,
3137.84,741.46,
3139.35,773.01,
3140.86,781.28,
3142.37,773.48,
3143.88,781.49,
3145.39,797.30,
3146.90,801.89,
3148.41,783.70,
3149.92,774.88,
3151.43,787.61,
3152.93,813.64,
3154.44,829.71,
3155.94,817.44,
3157.45,801.22,
3158.95,805.75,
3160.46,807.93,
3161.96,810.43,
3163.46,832.21,
3164.96,870.34,
3166.46,880.59,
3167.96,855.66,
3169.46,841.72,
3170.95,845.17,
3172.45,847.90,
3173.95,855.10,
3175.44,867.27,
3176.94,877.49,
3178.43,869.24,
3179.92,864.09,
3181.41,882.67,
3182.91,904.19,
3184.40,911.38,
3185.89,901.62,
3187.38,895.40,
3188.87,901.53,
3190.36,897.25,
3191.84,899.35,
3193.33,921.43,
3194.82,951.96,
3196.30,951.62,
3197.78,916.28,
3199.27,901.70,
3200.75,924.05,
